'cornellnumber','NameQTL','FatherQTL','MotherQTL','Population','name','generationdescription','number','mom','dad','sex_male.1_'
'F07F206',F07F206,F05F309F207F2ped41,F06F876F207F2ped41,F207,2f,F2,459,456,457,2
'F07F207',F07F207,F05F309F207F2ped41,F06F876F207F2ped41,F207,3f,F2,460,456,457,2
'F05F532',F05F532F207F2ped41,0,0,F207,Baron_03,tame,461,0,0,1
'F05F484',F05F484F207F2ped41,0,0,F207,6888(03),aggr,462,0,0,2
'F03F355',F03F355F207F2ped41,0,0,F207,Pinkerton_03,tame,463,0,0,1
'F04F137',F04F137F207F2ped41,0,0,F207,6970(04),aggr,464,0,0,2
'F05F334',F05F334F207F2ped42,F05F436F207F2ped42,F05F539F207F2ped42,F207,Dinat_05,F1,465,470,471,1
'F06F452',F06F452F207F2ped42,F03F352F207F2ped42,F04F047F207F2ped42,F207,Roka_06,F1,466,472,473,2
'F07F165',F07F165,F05F334F207F2ped42,F06F452F207F2ped42,F207,1m,F2,467,465,466,1
'F07F166',F07F166,F05F334F207F2ped42,F06F452F207F2ped42,F207,2m,F2,468,465,466,1
'F07F167',F07F167,F05F334F207F2ped42,F06F452F207F2ped42,F207,3f,F2,469,465,466,2
'F05F436',F05F436F207F2ped42,0,0,F207,6813(03),aggr,470,0,0,1
'F05F539',F05F539F207F2ped42,0,0,F207,Dina_99,tame,471,0,0,2
'F03F352',F03F352F207F2ped42,0,0,F207,Aslan_03,tame,472,0,0,1
'F04F047',F04F047F207F2ped42,0,0,F207,6942(04),aggr,473,0,0,2
'F05F334',F05F334F207F2ped43,F05F436F207F2ped43,F05F539F207F2ped43,F207,Dinat_05,F1,474,484,485,1
'F06F458',F06F458F207F2ped43,F05F587F207F2ped43,0,F207,Rubrika_06,F1,475,486,487,2
'F07F227',F07F227,F05F334F207F2ped43,F06F458F207F2ped43,F207,1f,F2,476,474,475,2
'F07F226',F07F226,F05F334F207F2ped43,F06F458F207F2ped43,F207,2f,F2,477,474,475,2
'F07F225',F07F225,F05F334F207F2ped43,F06F458F207F2ped43,F207,3m,F2,478,474,475,1
'F07F224',F07F224,F05F334F207F2ped43,F06F458F207F2ped43,F207,4m,F2,479,474,475,1
