1,,dogchr,dogloc,foxchr,foxloc
FH2302,113.7,3,88546123,VVU14.2pos,136244902
CM31.254,31.1,31,22468072,VVU15.1rev,17427849
CM31.150,40.9,31,12040909,VVU15.1rev,27855012
CM31.727,42.8,31,4268206,VVU15.1rev,35627715
REN43H24,43.8,31,6738404,VVU15.1rev,33157517
CM30.57,44.7,30,2727488,VVU15.2pos,42623409
CM30.74,44.71,30,4449231,VVU15.2pos,44345152
CM30.11,44.81,30,8061522,VVU15.2pos,47957443
CM30.13,47.11,30,10138111,VVU15.2pos,50034032
CM30.20,47.41,30,17215269,VVU15.2pos,57111190
FH3632,50.51,30,30247809,VVU15.2pos,70143730
CM28.38b,54.81,28,857695,VVU15.3pos,80967876
CM28.45,54.91,28,1529279,VVU15.3pos,81639460
CM28.79,56.71,28,4940186,VVU15.3pos,85050367
FH3963,58.21,28,7170897,VVU15.3pos,87281078
DTRCN14,58.71,28,7957701,VVU15.3pos,88067882
FH2585,69.61,28,23015189,VVU15.3pos,103125370
CM28.294,74.61,28,26473396,VVU15.3pos,106583577
REN309N19,94.51,28,34380063,VVU15.3pos,114490244
CM31.39,,31,36737525,VVU15.1rev,3158396
FH2712,5.9,31,35257139,VVU15.1rev,4638782
CM31.350,12.8,31,32969944,VVU15.1rev,6925977
CM31.30,23.4,31,27096847,VVU15.1rev,12799074
CM31.30b,23.5,31,27015103,VVU15.1rev,12880818
FH3449,,37,29157795,VVU16.1rev,1745196
CM37.27b,18,37,24032411,VVU16.1rev,6870580
FH2532,24.9,37,22213561,VVU16.1rev,8689430
FH3423,36.4,37,15726321,VVU16.1rev,15176670
H10101,40.7,37,9688852,VVU16.1rev,21214139
FH3272,41.1,37,2053339,VVU16.1rev,28849652
FH2537,41.8,10,468906,VVU16.2pos,31371897
FH2293,48.6,10,28518949,VVU16.2pos,59421940
ZUBECA1,66.5,10,45534581,VVU16.2pos,76437572
CM10.50,68.9,10,47166375,VVU16.2pos,78069366
FH2422,75,10,53026822,VVU16.2pos,83929813
C04107,85.4,10,61916614,VVU16.2pos,92819605
C10.602,86.6,10,63142435,VVU16.2pos,94045426
FH3381,89.8,10,65704561,VVU16.2pos,96607552
X_002E,,X,2962774,VVUX.1pos,2962774
X_2778,23.4,X,10218515,VVUX.1pos,10218515
FH2985,30.1,X,20884439,VVUX.1pos,20884439
X_2795,32.1,X,23237916,VVUX.1pos,23237916
CAMX.01,34.2,X,26653746,VVUX.1pos,26653746
FH2548,36,X,30624110,VVUX.1pos,30624110
REN185C11,38.9,X,57797189,VVUX.1pos,57797189
X_2864,39.3,X,74912818,VVUX.1pos,74912818
FH5197,40.2,X,81953322,VVUX.1pos,81953322
FH2584,45.2,X,100918458,VVUX.1pos,100918458
FH5199,49.8,X,106970142,VVUX.1pos,106970142
